id,case_number,allegation,ia_finding,crb_decision,unanimous_vote,date_assigned,date_presented,pd_division,complainant_race,complainant_gender,changes,crb_viewed_bwc
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,E,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,CRIMINAL CONDUCT,NS,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,PROCEDURE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,FORCE,U,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,OF1 PROCEDURE,S,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-21,2018-0564,OF2 PROCEDURE,S,A,YES,2019-05-20,2020-01-14,GST- LA MESA,B,F,YES,YES
20-20,2019-0086,ARREST,E,A,YES,2019-09-03,2020-01-14,WESTERN,W,F,NO,YES
20-20,2019-0086,ARREST,E,A,YES,2019-09-03,2020-01-14,WESTERN,W,F,NO,YES
20-19,2019-0361,CRIMINAL CONDUCT,U,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-19,2019-0361,PROCEDURE,E,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-19,2019-0361,PROCEDURE,E,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-19,2019-0361,PROCEDURE,U,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-19,2019-0361,CRIMINAL CONDUCT,U,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-19,2019-0361,PROCEDURE,E,A,YES,2019-07-22,2020-01-28,SOUTHEASTERN,B,M,YES,YES
20-18,2018-0689,FORCE,E,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,DISCRIMINATION,U,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,FORCE,E,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,FORCE,E,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,FORCE,E,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,FORCE,U,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,DISCRIMINATION,U,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,OF1 PROCEDURE,S,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,FORCE,E,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-18,2018-0689,DISCRIMINATION,U,A,YES,2019-05-09,2019-10-08,NORTHWESTERN,B,F,NO,YES
20-17,2019-0373,ARREST,S,A,YES,2019-09-05,2019-11-26,NORTHERN,W,F,YES,YES
20-17,2019-0373,FORCE,NS,A/C,YES,2019-09-05,2019-11-26,NORTHERN,W,F,YES,YES
20-17,2019-0373,PROCEDURE,S,A,YES,2019-09-05,2019-11-26,NORTHERN,W,F,YES,YES
20-16,2016-0301,OIS,WP,A/C,YES,2019-08-21,2019-12-10,SOUTHEASTERN,H,M,YES,NO
20-15,2019-0365,FORCE,E,A,YES,2019-09-04,2019-11-12,SOUTHEASTERN,H,F,NO,YES
20-14,2019-0479,DISCRIMINATION,U,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-14,2019-0479,PROCEDURE,E,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-14,2019-0479,DISCRIMINATION,U,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-14,2019-0479,PROCEDURE,E,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-14,2019-0479,OF1 PROCEDURE,S,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-14,2019-0479,OF2 PROCEDURE,S,A,NO,2019-09-24,2019-11-12,MID-CITY,B,M,NO,YES
20-13,2019-0032,FORCE,E,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,FORCE,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,FORCE,E,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,ARREST,E,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,DISCRIMINATION,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,COURTESY,S,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,COURTESY,S,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,DISCRIMINATION,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,OF1 CONDUCT,S,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,OF2 PROCEDURE,S,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,OF3 PROCEDURE,NS,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,DISCRIMINATION,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,DISCRIMINATION,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-13,2019-0032,DISCRIMINATION,U,A,YES,2019-09-05,2019-11-12,CENTRAL,H,M,YES,YES
20-12,2018-0633,ICD,WP,A,YES,2019-08-20,2019-11-12,CENTRAL,W,M,NO,YES
20-12,2018-0633,ICD,WP,A,YES,2019-08-20,2019-11-12,CENTRAL,W,M,NO,YES
20-12,2018-0633,ICD,WP,A,YES,2019-08-20,2019-11-12,CENTRAL,W,M,NO,YES
20-11,2019-0067,FORCE,U,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,DISCRIMINATION,U,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,POLICY,U,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,FORCE,E,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,COURTESY,S,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,PROCEDURE,S,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-11,2019-0067,CONDUCT,S,A,YES,2019-07-22,2019-10-22,WESTERN,UNK,M,NO,YES
20-10,2018-0698,ARREST,E,A,NO,2019-09-18,2019-10-22,CENTRAL,B,M,NO,YES
20-10,2018-0698,DISCRIMINATION,U,A,NO,2019-09-18,2019-10-22,CENTRAL,B,M,NO,YES
20-10,2018-0698,PROCEDURE,U,A,NO,2019-09-18,2019-10-22,CENTRAL,B,M,NO,YES
20-10,2018-0698,PROCEDURE,S,A,NO,2019-09-18,2019-10-22,CENTRAL,B,M,NO,YES
20-10,2018-0698,PROCEDURE,S,A,NO,2019-09-18,2019-10-22,CENTRAL,B,M,NO,YES
20-09,2018-0681,FORCE,E,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-09,2018-0681,ARREST,U,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-09,2018-0681,FORCE,E,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-09,2018-0681,FORCE,E,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-09,2018-0681,ARREST,U,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-09,2018-0681,FORCE,E,A,YES,2019-03-14,2019-08-13,MID-CITY,W,F,NO,YES
20-08,2018-0382,OIS,WP,A,YES,2019-05-01,2019-08-27,MID-CITY,O,M,NO,YES
20-08,2018-0382,OIS,WP,A,YES,2019-05-01,2019-08-27,MID-CITY,O,M,NO,YES
20-07,2018-0795,ICD,WP,A,YES,2019-05-01,2019-08-13,SOUTHEASTERN,H,M,NO,YES
20-07,2018-0795,ICD,WP,A,YES,2019-05-01,2019-08-13,SOUTHEASTERN,H,M,NO,YES
20-06,2017-0916,ARREST,E,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,FORCE,E,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,FORCE,E,D/C,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,NS,A/C,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,U,A/C,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,E,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,OF1 PROCEDURE,S,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,U,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,FORCE,E,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,FORCE,E,A/C,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,U,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,COURTESY,E,A/C,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,PROCEDURE,U,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-06,2017-0916,FORCE,E,A,NO,2019-03-07,2019-08-13,EASTERN,W,M,YES,YES
20-05,2018-0183,FORCE,E,A/C,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A/C,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,ARREST,E,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A/C,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,PROCEDURE,U,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A/C,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,ARREST,E,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,FORCE,E,A/C,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-05,2018-0183,PROCEDURE,U,A,YES,2019-04-17,2019-08-13,NORTHERN,W,M,NO,YES
20-03,2019-0154,FORCE,E,A,YES,2019-06-04,2019-07-23,CENTRAL,B,M,NO,YES
20-02,2018-0122,OIS,WP,A,YES,2019-04-30,2019-07-09,CENTRAL,W,M,NO,YES
20-01,2019-0187,ARREST,E,A,YES,2019-06-06,2019-07-09,NORTHERN,W,M,NO,YES
20-01,2019-0187,ARREST,E,A,YES,2019-06-06,2019-07-09,NORTHERN,W,M,NO,YES
21-01,2019-0671,FORCE,S,A,YES,2020-05-06,2020-07-28,MID-CITY,B,M,NO,YES
21-02,2019-0617,OF2 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,OF3 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,FORCE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,FORCE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,COURTESY,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,PROCEDURE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,PROCEDURE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,OF4 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,OF6 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,OF1 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,FORCE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,FORCE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,FORCE,E,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,PROCEDURE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,PROCEDURE,U,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-02,2019-0617,OF5 PROCEDURE,S,A,YES,2020-04-23,2020-07-28,NATIONAL CITY Special ops,,F,NO,YES
21-03,2019-0547,FORCE,E,A,YES,2020-01-22,2020-08-04,NORTHEASTERN,H,F,NO,YES
21-03,2019-0547,FORCE,NS,A,YES,2020-01-22,2020-08-04,NORTHEASTERN,H,F,NO,YES
21-03,2019-0547,DISCRIMINATION,U,A,YES,2020-01-22,2020-08-04,NORTHEASTERN,H,F,NO,YES
21-03,2019-0547,DISCRIMINATION,U,A,YES,2020-01-22,2020-08-04,NORTHEASTERN,H,F,NO,YES
21-03,2019-0547,COURTESY,U,A,YES,2020-01-22,2020-08-04,NORTHEASTERN,H,F,NO,YES
21-04,2019-0707,PROCEDURE,U,A,YES,2020-02-12,2020-08-04,500 PARK AVENUE,B,M,NO,YES
21-04,2019-0707,PROCEDURE,U,A,YES,2020-02-12,2020-08-04,500 PARK AVENUE,B,M,NO,YES
21-04,2019-0707,DISCRIMINATION,U,A,YES,2020-02-12,2020-08-04,500 PARK AVENUE,B,M,NO,YES
21-04,2019-0707,OF1 PROCEDURE,S,A,YES,2020-02-12,2020-08-04,500 PARK AVENUE,B,M,NO,YES
21-05,2019-0049,ICD,WP,A,YES,2019-12-09,2020-08-04,MID-CITY,W,M,YES,YES
21-05,2019-0049,OF1 PROCEDURE,S,A,YES,2019-12-09,2020-08-04,MID-CITY,W,M,YES,YES
21-05,2019-0049,OF2 PROCEDURE,S,A,YES,2019-12-09,2020-08-04,MID-CITY,W,M,YES,YES
21-06,2019-0574,PROCEDURE,E,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-06,2019-0574,COURTESY,U,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-06,2019-0574,DISCRIMINATION,U,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-06,2019-0574,PROCEDURE,E,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-06,2019-0574,COURTESY,S,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-06,2019-0574,DISCRIMINATION,U,A,NO,2020-01-22,2020-08-11,NORTHERN,B,M,YES,YES
21-07,2019-0019,OIS,WP,A,YES,2020-01-22,2020-08-11,WESTERN,W,M,YES,YES
21-08,2020-0082,COURTESY,U,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-08,2020-0082,PROCEDURE,U,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-08,2020-0082,FORCE,E,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-08,2020-0082,COURTESY,U,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-08,2020-0082,COURTESY,U,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-08,2020-0082,OF1 PROCEDURE,S,A,YES,2020-06-05,2020-08-11,NORTHERN,W,F,NO,YES
21-09,2019-0456,FORCE,E,A,YES,2020-04-14,2020-08-11,CENTRAL,W,F,YES,YES
21-09,2019-0456,COURTESY,U,AC,YES,2020-04-14,2020-08-11,CENTRAL,W,F,YES,YES
21-09,2019-0456,DISCRIMINATION,U,A,YES,2020-04-14,2020-08-11,CENTRAL,W,F,YES,YES
21-09,2019-0456,COURTESY,S,A,YES,2020-04-14,2020-08-11,CENTRAL,W,F,YES,YES
21-10,2019-0820,PROCEDURE,U,A,YES,2020-04-08,2020-08-11,WESTERN,W,F,NO,YES
21-10,2019-0820,OF1 PROCEDURE,S,A,YES,2020-04-08,2020-08-11,WESTERN,W,F,NO,YES
21-10,2019-0820,ARREST,E,A,YES,2020-04-08,2020-08-11,WESTERN,W,F,NO,YES
21-10,2019-0820,PROCEDURE,U,A,YES,2020-04-08,2020-08-11,WESTERN,W,F,NO,YES
21-100,2020-0338,OF2 PROCEDURE,S,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-100,2020-0338,OF3 PROCEDURE,S,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-100,2020-0338,FORCE,E,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-100,2020-0338,OF1 PROCEDURE,S,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-100,2020-0338,OF2 PROCEDURE,S,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-100,2020-0338,OF3 PROCEDURE,S,A,YES,2020-08-24,2021-04-13,NORTHERN,B,F,NO,NO (DELETED RETENTION)
21-101,2020-0415,FORCE,E,A,YES,2020-12-16,2021-04-13,WESTERN,W,M,NO,YES
21-101,2020-0415,FORCE,E,A,YES,2020-12-16,2021-04-13,WESTERN,W,M,NO,YES
21-101,2020-0415,OF1 PROCEDURE,S,A,YES,2020-12-16,2021-04-13,WESTERN,W,M,NO,YES
21-101,2020-0415,OF1 PROCEDURE,S,A,YES,2020-12-16,2021-04-13,WESTERN,W,M,NO,YES
21-102,2020-0614,ARREST,E,A,YES,2021-03-10,2021-04-27,EASTERN,W,M,NO,YES
21-102,2020-0614,PROCEDURE,NS,A,YES,2021-03-10,2021-04-27,EASTERN,W,M,NO,YES
21-102,2020-0614,ARREST,E,A,YES,2021-03-10,2021-04-27,EASTERN,W,M,NO,YES
21-102,2020-0614,PROCEDURE,NS,A,YES,2021-03-10,2021-04-27,EASTERN,W,M,NO,YES
21-102,2020-0614,PROCEDURE,NS,A,YES,2021-03-10,2021-04-27,EASTERN,W,M,NO,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,OF 2 PROCEDURE,S,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,E,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,COURTESY,E,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,E,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,COURTESY,E,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,E,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,COURTESY,E,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,E,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,COURTESY,E,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,OF 1 PROCEDURE,S,A,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
21-103,2020-0389,PROCEDURE,U,A/C,YES,2021-01-11,2021-04-27,CENTRAL,O,F,YES,YES
